,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,DNN_logits,mbert_cos,xlm_cos,indic_bert_cos,muril_cos
0,All languages,-0.49773599152509773,-0.16636319646403616,-0.13199401535765595,0.6372140081060546,0.4525126639183254,-0.008450418528310553,3.318110992785552,0.3085454751464347,1.2093192764446465,0.13873394080424112,0.3616026381346813
1,Assamese-Bengali,-0.47466831001303317,-0.21552308444347476,0.004579408878036047,0.2683209008025638,0.6274114064261382,0.08155460978686872,3.1776693980119326,0.2480784040611588,1.1378150813125691,0.08395069418776871,0.30123489464088066
2,Bengali-Assamese,-0.4881775814717722,-0.08508818688019783,0.038950901888529385,0.5764943624038705,0.14718614891866674,0.08832228170551046,3.3415216967868187,0.36855542511245015,1.2271358427926249,0.18802083266795072,0.49638783047467894
