,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits,xlm_cos,indic_bert_cos,muril_cos
0,All languages,-0.05296467522167427,-0.4183161166371076,0.00879145035487248,0.7807467089832422,0.6367096705834185,0.03287104326310828,-1.5110891726067641,3.303656927177482,1.0611794033115862,0.14027615162354073,0.16808178492516487
1,Assamese-Bengali,-0.0554948791273305,-0.4874339037672791,0.14496348698354927,0.3845741266890303,0.8614319711256422,0.11464058604453602,-1.3836511306490367,3.1666883970864026,0.9814186965021239,0.059340478229640246,0.14588030996895798
2,Bengali-Assamese,-0.06838488753073876,-0.27125528552522993,0.14397249901945885,0.7178587180990154,0.22709762953292628,0.1978440308479997,-1.5179898676868973,3.307084312607445,1.1071526245541232,0.21622188580130944,0.24085245290178492
