,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein
0,All languages,0.09504422063168835,-0.08517923202546772,-0.5190753533596509,1.2058191785488905,-0.5535577223450989,0.5608287917810634,-2.7897646452463665
1,Assamese-Bengali,0.05572525921903376,-0.1077390410438712,0.05776005500863304,0.7273307664608754,-0.6396903522107708,0.6183837865530873,-2.7014741246875618
2,Bengali-Assamese,0.09306318463820751,-0.07175837341647907,-0.30023346946791346,0.9615946953459322,-0.37389662760436737,0.3214505647399857,-2.781717587698055
