,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,ass_bertmbert,ass_bertxlm,ass_bertindic_bert,ass_bertmuril
0,All languages,0.10850351393558391,-0.10888338665372027,-0.546380563031794,1.264781398867588,-0.5562682562567032,0.5359504689900372,-2.7225779534274293,0.02076655090961787,0.4177084861124426,-0.038967512114700086,-0.3048197702465805
1,Assamese-Bengali,0.06774359988880065,-0.1504697697485015,0.05843648319297404,0.7434707160385139,-0.595368370488209,0.5783318464815445,-2.4475067852994488,0.06519384685964769,0.4541976268237913,-0.0313922045015689,-0.28647843608609386
2,Bengali-Assamese,0.11376057155371319,-0.08198161946142492,-0.2853585018246395,0.991313671853636,-0.4243242821656221,0.33460633851420457,-2.830403061207996,-0.010063094700890073,0.18624914382572325,-0.04912771963107236,-0.24333913611479938
