,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,mbert_src_assbert_trg
0,All languages,-0.8334982432184802,0.36109415933017563,-0.46048835102342583,0.7572149007202094,-2.0951015261921535,1.2250590651656446,0.03231274399275479
1,Assamese-Bengali,-0.8104566480969818,0.4617111096554872,0.09387502132207205,0.5102955176767568,-2.3296524676285624,1.0910556717196667,-0.08805526699087902
2,Bengali-Assamese,-0.8901386349062707,0.19466407547887465,-0.25879154438199065,0.6742564206219996,-1.5480617943505124,0.7260635090604629,0.13836036527005607
