loan_word,original_word
Kərim,كَرِيم
kərə,كَرَّة
kəsr,كَسْر
kəstanə,كَسْتَنَاء
kəşf,كَشْف
lakin,لٰكِنْ
layihə,لَائِحَة
lazım,لَازِم
Leyla,لَيْلَى
lövhə,لَوْحَة
lütf,لُطْف
lüğət,لُغَة
libas,لِبَاس‎
lisan,لِسَان
ləhcə,لَهْجَة
lənət,لَعْنَة
ləqəb,لَقَب
lətifə,لَطِيفَة‎
Ləyla,لَيْلَى
ləzzət,لَذَّة
ləğv,لَغْو
maarif,مَعَارِف
maaş,مَعَاش
maddi,مَادِّيّ
maddə,مَادَّة
Mahmud,مَحْمُود
mahiyyət,مَاهِيَّة
mal,مَال
maliyyə,مَالِيَّة
maneə,مَانِع
matəm,مَأْتَم
mavi,مَاوِيّ
maye,مَائِع
mağara,مَغَارَة
mehrab,مِحْرَاب
memar,مِعْمَار
meydan,مَيْدَان
meymun,مَيْمُون
meyil,مَيْل
meyit,مَيِّت
muğam,مَقَام
möcüzə,مُعْجِزَة
möhkəm,مُحْكَم
möhlət,مُهْلَة
möhtərəm,مُحْتَرَم‎
möhtəşəm,مُحْتَشِم
mötədil,مُعْتَدِل
mötərizə,مُعْتَرِضَة
mövcud,مَوْجُود
mövqe,مَوْقِع
mövsüm,مَوْسِم
mövzu,مَوْضُوع
müalicə,مُعَالَجَة
müasir,مُعَاصِر
müavin,مُعَاوِن
müayinə,مُعَايَنَة
mübadilə,مُبَادَلة
mübahisə,مُبَاحَثَة
mübaliğə,مُبَالَغَة
Mübariz,مُبَارِز
mübarizə,مُبَارَزَة
mübarək,مُبَارَك
mübtəda,مُبْتَدَأ
mücadilə,مُجَادَلَة
mücahid,مُجَاهِد
mücərrəd,مُجَرَّد
müdafiə,مُدَافَعَة
müdaxilə,مُدَاخَلَة
müddəa,مُدَّعًى
müddət,مُدَّة
müdhiş,مُدْهِش
müdrik,مُدْرِك
müflis,مُفْلِس
müfəssəl,مُفَصَّل
müfəttiş,مُفَتِّش
mühacir,مُهَاجِر
mühafiz,مُحَافِظ
mühafizə,مُحَافَظَة
mühakimə,مُحَاكَمَة
müharibə,مُحَارَبَة
mühasib,مُحَاسِب
mühasirə,مُحَاصَرَة
mühazirə,مُحَاضَرَة
mühüm,مُهِمّ
mühit,مُحِيط
mühəndis,مُهَنْدِس
mühərrik,مُحَرِّك
mühərrir,مُحَرِّر
mükafat,مُكَافَأَة
mükəmməl,مُكَمَّل
mülahizə,مُلَاحَظَة
mülk,مُلْك
mümkün,مُمْكِن
münaqişə,مُنَاقَشَة
münasib,مُنَاسِب
münbit,مُنْبِت‎
münsif,مُنْصِف
müntəzəm,مُنْتَظَم
münəccim,مُنَجِّم
müqavilə,مُقَاوَلَة
müqayisə,مُقَايَسَة
müqəddimə,مُقَدِّمَة‎‎
müqəddəs,مُقَدَّس
müqəvva,مُقَوَّى
mürtəce,مُرْتَجَع‎
mürtəd,مُرْتَدّ
mürəkkəb,مُرَكَّب
mürəttib,مُرَتِّب
müsabiqə,مُسَابَقَة
müsahibə,مُصَاحَبَة‎
müsaidə,مُسَاعَدَة
müsbət,مُثْبَت
müstəmləkə,مُسْتَمْلَكَة
müstəntiq,مُسْتَنْطِق
müstəqil,مُسْتَقِلّ
müstəqim,مُسْتَقِيم
müstəsna,مُسْتَثْنًى
mütaliə,مُطَالَعَة
mütləq,مُطْلَق
mütrüb,مُطْرِب
müttəfiq,مُتَّفِق‎
mütəfəkkir,مُتَفَكِّر
mütəmadi,مُتَمَادِي
mütərəqqi,مُتَرَقٍّ‎
mütəxəssis,مُتَخَصِّص
mütəşəkkil,مُتَشَكِّل
mütəəllim,مُتَعَلِّم
mütəəssif,مُتَأَسِّف
mütəəssir,مُتَعَصِّر‎
müvəkkil,مُوَكِّل‎
müxalifət,مُخَالَفَة
müxbir,مُخْبِر
müxtəlif,مُخْتَلِف
müzakirə,مُذَاكَرَة
müzəffər,مُظَفَّر
müğənni,مُغَنٍّ
müşavir,مُشَاوِر‎
müşavirə,مُشَاوَرَة
müştəri,مُشْتَرٍ
müəllif,مُؤَلِّف
müəllim,مُعَلِّم
müəllimə,مُعَلِّمَة
müəmma,مُعَمًّى‎
müəssisə,مُؤَسَّسَة
müəyyən,مُعَيَّن
milad,مِيلَاد
millət,مِلَّة
minbər,مِنْبَر
minnət,مِنَّة
minval,مِنْوَال‎
miqdar,مِقْدَار
miqyas,مِقْيَاس
miras,مِيرَاث
misal,مِثَال
miskin,مِسْكِين
mismar,مِسْمَار
misra,مِصْرَاع
mizah,مِزَاح
mizrab,مِضْرَاب
mizraq,مِزْرَاق
mişar,مِنْشَار
məcazi,مَجَازِيّ
məcbur,مَجْبُور
məclis,مَجْلِس
məcmuə,مَجْمُوعَة
məcnun,مَجْنُون
məcra,مَجْرًى
məcəllə,مَجَلَّة
mədar,مَدَار
mədaxil,مَدَاخِل
mədrəsə,مَدْرَسَة
mədə,مِعْدَة
mədən,مَعْدِن
mədəni,مَدَنِيّ
mədəniyyət,مَدَنِيَّة
məfhum,مَفْهُوم
məhkum,مَحْكُوم
məhkəmə,مَحْكَمَة
məhrum,مَحْرُوم‎
məhsul,مَحْصُول
məhv,مَحْو
məhz,مَحْض
məhəbbət,مَحَبَّة
məhəlli,مَحَلِّيّ
məhəllə,مَحَلَّة
Məhəmməd,مُحَمَّد
məktub,مَكْتُوب
məktəb,مَكْتَب
məlhəm,مَرْهَم
məlum,مَعْلُوم
məlumat,مَعْلُومَات
mələk,مَلَك
məmnun,مَمْنُون
məmur,مَأْمُور
mənbə,مَنْبَع
mənfi,مَنْفِيّ
mənfəət,مَنْفَعَة
mənsub,مَنْسُوب
məntiq,مَنْطِق
məntiqi,مَنْطِقِيّ
məntəqə,مِنْطَقَة
mənzərə,مَنْظَرَة
məni,مَنِيّ
mənəvi,مَعْنَوِيّ
məqalə,مَقَالَة
məqbul,مَقْبُول‎
məqsəd,مَقْصَد
məram,مَرَام‎
mərasim,مَراسِم
mərhum,مَرْحُوم‎
mərhələ,مَرْحَلَة
mərkəz,مَرْكَز
mərkəzi,مَرْكَزِيّ
mərmi,مَرْمِيّ
mərtəbə,مَرْتَبَة
mərifət,مَعْرِفَة
məsafə,مَسَافَة
məscid,مَسْجِد
məsləhət,مَصْلَحَة
məslək,مَسْلَك
məsuliyyət,مَسْؤُولِيَّة
məsum,مَعْصُوم
məsələn,مَثَلًا
mətanət,مَتَانَة
mətbəx,مَطْبَخ
mətn,مَتْن
məvacib,مَواجِب
məxaric,مَخَارِج
məxfi,مَخْفِيّ‎
məxluq,مَخْلُوق
məxmər,مُخْمَل
məxrəc,مَخْرَج
məxsus,مَخْصُوص
məxəz,مَأْخَذ
məyus,مَأْيُوس
məzac,مِزَاج
məzar,مَزَار
məzhəb,مَذْهَب
məzlum,مَظْلُوم
məzmun,مَضْمُون
məzuniyyət,مَأْذُونِيَّة
məğlub,مَغْلُوب
məğrur,مَغْرُور
məişət,مَعِيشَة
məşhur,مَشْهُور
məşq,مَشْق
məşuqə,مَعْشُوقَة
məşğul,مَشْغُول
məşəl,مِشْعَل
məşəqqət,مَشَقَّة‎
nadir,نَظِير السَّمْت
nal,نَعْل
namus,نَامُوس
nanə,نَعْنَاع
nasir,نَاثِر
natiq,نَاطِق
nazir,نَظِير
nağara,نَقَّارَة
naşir,نَاشِر‎
nur,نور
nöqsan,نُقْصَان
nöqtə,نُقْطَة
növ,نَوْع
növbə,نَوْبَة
nüfuz,نُفُوذ
nikah,نِكَاح
nisbi,نِسْبِيّ
nisbətən,نِسْبَةً
nitq,نُطْق
niyyət,نِيَّة
nizam,نِظَام
nəcib,نَجِيب
nəcis,نَجِس
Nəcəf,نَجَف
nəfər,نَفَر
nəfəs,نَفَس
nəhayət,نِهَايَات
nəma,نَعْماء
nəqliyyat,نَقْلِيَّات
nəqərat,نَقَرَات‎
nəsr,نَثْر
nəsihət,نَصِيحَة
nəsil,نَسْل
Nəsir,نَصِير
nəticə,نَتِيجَة
nəzarət,نِظَارَة
nəzir,نَذْر
nəzər,نَظَر
nəzəriyyə,نَظَرِيَّة
nəğmə,نَغْمَة
nəşr,نَشْر
ovqat,أَوْقَات
palıd,بَلُّوط
paxıl,بَخِيل
qadir,قَادِر
qala,قَلْعَة
qalib,غَالِب
qalibiyyət,غَالِبِيَّة
qanun,قَانُون
qanuni,قَانُونِيّ
qarət,غَارَة
Qasım,قَاسِم
qatar,قِطَار
qatran,قَطْران
qatil,قَاتِل
qayda,قَاعِدَة
qazı,قَاضٍ
qazi,غَازٍ
qeybət,غِيبَة
qeyd,قَيْد
qeyri,غَيْرَ
qeyrət,غَيْرَة
qıfıl,قِفْل
qohum,قوم
qumar,قِمَار
qurban,قُرْبَان
qövm,قوم
qövs,قَوْس
Qüdrət,قُدْرَة
qüdrət,قُدْرَة
qürbət,غُرْبَة
qürub,غُرُوب‎
qürur,غُرُور
qida,غِذَاء
qiraət,قِرَاءَة
qisas,قِصَاص
qismət,قِسْمَة
qiyam,قِيَام
qiyamət,قِيَامَة
qiymət,قِيمَة
qəbul,قَبُول
qəbz,قَبْض
qəbir,قَبْر
qəddar,غَدّار
qədim,قَدِيم
qədəh,قَدَح
qədəm,قَدَم
qədər,قَدْر
qəfəs,قَفَص
qəhbə,قَحْبَة
qəhvə,قَهْوَة
qəlb,قَلْب
qəlp,قَلْب
qəlsəmə,غَلْصَمَة
qəlyan,غَلْيُون
qəliz,غَلِيظ
qələbə,غَلَبَة
qəm,غَمّ
qənaət,قَنَاعَة
qəndil,قِنْدِيل
qənimət,غَنِيمَة
qərar,قَرَار
qərb,غَرْب
qərbi,غَرْبِيّ
qərq,غَرْق
qərəz,غَرَض
qəsd,قَصْد
qəsdən,قَصْدًا‎
qəssab,قَصَّاب
qəsidə,قَصِيدَة
qətl,قَتْل
qəyyum,قَيُّوم‎
qəza,قَضَاء
rabitə,رَابِطَة
rahat,رَاحَة
Rasim,رَاسِم
Rauf,رَؤُوف
razı,رَاضٍ
reyhan,رَيْحَان
ruhi,رُوحِيّ‎
röya,رُؤْيَا
rüsum,رُسُوم
rütbə,رُتْبَة
rüşvət,رَشْوَة
riya,رِيَاء
riyaziyyat,رِيَاضِيَّات
rəbb,رَبّ
Rəbb,رَبّ
rəf,رَفّ
rəfiqə,رَفِقَ
rəhmət,رَحْمَة
rəmz,رَمْز
rəqabət,رَقَابَة
rəqqas,رَقَّاص
rəqs,رَقْص
rəqib,رَقِيب
rəqəm,رَقْم
rəsm,رَسْم‎
rəsmi,رَسْمِيّ
rəssam,رَسَّام
rətl,رِطْل
rəğbət,رَغْبَة
rəğmən,رَغْماً
Rəşid,رَشِيد
saat,سَاعَة
sabah,صَبَاح
sabun,صَابُون
sabiq,سَابِق
Sabir,صَابِر
sabit,ثَابِت
sadiq,صَادِق
saf,صَافٍ
sahib,صَاحِب
sahil,سَاحِل
sahə,سَاحَة
sakit,سَاكِت
salam,سَلَام
salamat,سَلَامَات
samit,صَامِت
sandıq,صَنْدُوق
saniyə,ثَانِيَة
savab,ثَوَاب
savad,سَوَاد
sıfır,صِفْر
sırf,صِرْف
sultan,سُلْطَان
surət,صُورَة
sübut,ثُبُوت
süfrə,سُفْرَة
sülalə,سُلَالَة
Süleyman,سُلَيْمَان
sülh,صُلْح
sünbül,سُنْبُل
sünni,سُنِّيّ
sünnət,سُنَّة
süni,صُنْعِيّ
sürət,سُرْعَة
sikkə,سِكَّة
sinif,صِنْف
sirr,سِرّ
siyasi,سِيَاسِيّ
siyasət,سِيَاسَة
səbir,صَبْر
səccadə,سَجَّادَة
səcdə,سَجْدَة
səciyyə,شَجِيَّة
sədr,صَدْر
səfeh,سَفِه
səfir,سَفِير
səfər,سَفَر
səhhət,صِحَّة
səhra,صَحْرَاء
səhv,سَهْو
səhifə,صَحِيفَة
səhər,سَحَر
səlahiyyət,صَلَاحِيَّة
səmt,سَمْت
səmərə,ثَمَرَة
sənaye,صَنَائِع
sənəd,سَنَد
sərab,سَرَاب
sərraf,صَرَّاف
sərvət,ثَرْوَة
səth,سَطْح
sətir,سَطْر
səviyyə,سَوِيَّة
səyahət,سِيَاحَة
səyyah,سَيَّاح‎
səyyar,سَيَّار
səyyarə,سَيَّارَة
Səid,سَعِيد
tac,تَاج
tacir,تَاجِر
tale,طَالِع
tam,تَامّ
taqət,طَاقَة
tarix,تَارِيخ
tarixi,تَارِيخِيّ
tas,طَاس
taun,طَاعُون
tayfa,طَائِفَة
tovuz,طَاوُوس
töhfə,تُحْفَة
tövbə,تَوْبَة
tövsiyə,تَوْصِيَة
tibb,طِبّ
tibbi,طِبِّيّ
ticarət,تِجَارَة
timsah,تِمْسَاح
timsal,تِمْثَال
təbrik,تَبْرِيك
təbii,طَبِيعِيّ
təbəqə,طَبَقَة
təbəssüm,تَبَسُّم
təcavüz,تَجَاوُز
təcrübə,تَجْرِبَة
təcəssüm,تَجَسُّمْ
tədavül,تَدَاوُل
tədbir,تَدْبِير
tədqiqat,تَدْقِيقَات
tədricən,تَدْرِيجِيّاً
tədris,تَدْرِيس
təfavüt,تَفَاوُت‎
təfsilat,تَفْصِيلَات
təfsilən,تَفْصِيلًا
təfəkkür,تَفَكُّر‎
təhlükə,تَهْلُكَة
təhlil,تَحْلِيل
təhqiq,تَحْقِيق
təhqiqat,تَحْقِيقَات
təhqir,تَحْقِير
təhrif,تَحْرِيف
təhsil,تَحْصِيل
təklif,تَكْلِيف
təkrar,تَكْرَار
təkəbbür,تَكَبُّر
təlqin,تَلْقِين
təltif,تَلْطِيف
təlim,تَعْلِيم
tələbə,طَالِب
tələffüz,تَلَفُّظ
təmas,تَمَاسّ
təmrin,تَمْرِين
təmsil,تَمْثِيل‎
təminat,تَأْمِينَات
təmənna,تَمَنَّى
təmərküz,تَمَرْكُز
təndir,تَنُّور
tənqid,تَنْقِيد
tənəffüs,تَنَفُّس
tənəzzül,تَنَزُّل
təqribən,تَقْرِيبًا
təqvim,تَقْوِيم
tərbiyə,تَرْبِية
tərcümə,تَرْجَمَة
tərkib,تَرْكِيب
tərtib,تَرْتِيب
tərz,طَرْز
tərif,تَعْرِيف
tərəddüd,تَرَدُّد
tərəqqi,تَرَقٍّ
təsadüf,تَصَادُف
təsdiq,تَصْدِيق
təslim,تَسْلِيم
təsnifat,تَصْنِيفات‎
təsvir,تَصْوِير
təsis,تَأْسِيس
təsəlli,تَسَلٍّ
təsəvvüf,تَصَوُّف‎
təsəvvür,تَصَوُّر
tətil,تَعْطِيل
