loan_word,original_word,loan_word_ipas,original_word_ipas
व,و,"['/ʋə/', '/wə/', '/və/', '/ʋə/']","['/waːw/', '/w/', '/uː/', '/w/', '/u(ː)/', '/oː/', '/wa/', '/wɪ/', '/w/', '/wa/', '/waːw/', '/w/', '/uː/', '/oː/', '/u/', '/u/', '/waːw/', '/w/', '/oː/', '/waw/', '/o/', '/œ/', '/wɑw/', '/w/', '/u/', '/ʊ/', '/o/', '/u/', '/wa./', '/wa./', '/væ./', '/va./', '/o/', '/ʋɑːʋ/', '/ʋ/', '/uː/', '/oː/', '/ɔː/', '/ʋə/', '/oː/']"
वक़्फ़ा,وقفه,"['/ʋək.pʰɑː/', '/ʋəq.fɑː/']",[]
वकील,وکیل,[],"['/wakiːl/', '/wakiːl/', '/vækiːl/', '/vakil/']"
वग़ैरह,وغیره,"['/ʋə.ɡɛː.ɾəɦ/', '/ʋə.ɣɛː.ɾəɦ/']",[]
वज़ीर,وزیر,"['/ʋə.d͡ʒiːɾ/', '/ʋə.ziːɾ/']",['/ʋə.ziːɾ/']
वतन,وطن,['/ʋə.t̪ən/'],"['/watan/', '/watan/', '/vætæn/', '/vatan/', '/watˤ.tˤan/', '/wa.tˤan/']"
वफ़ा,وفا,"['/ʋə.pʰɑː/', '/ʋə.fɑː/']",['/ʋə.fɑː/']
वफ़ादार,وفادار,"['/ʋə.pʰɑː.d̪ɑːɾ/', '/ʋə.fɑː.d̪ɑːɾ/']",[]
वरना,ورنه,[],[]
वर्ज़िश,ورزش,"['/ʋəɾ.d͡ʒɪʃ/', '/ʋəɾ.zɪʃ/']",['/ʋəɾ.zɪʃ/']
वली,ولی,['/ʋə.liː/'],[]
वलीअहद,ولی‌عهد,['/ʋə.liː.ə.ɦəd̪/'],[]
वसीयत,وصیت,['/ʋə.siː.jət̪/'],[]
वहशत,وحشت,['/ʋəɦ.ʃət̪/'],[]
वहशी,وحشی,['/ʋəɦ.ʃiː/'],"['/wahʃiː/', '/wahʃiː/', '/væhʃiː/', '/vahʃiː/']"
वाक़ई,واقعی,"['/ʋɑː.kə.iː/', '/ʋɑː.qə.iː/']",[]
वाक़िफ़,واقف,[],['/waː.qif/']
वादा,وعده,['/ʋɑː.d̪ɑː/'],"['/waʔda/', '/waʔda/', '/væʔde/', '/vaʔda/']"
वापस,واپس,['/ʋɑː.pəs/'],[]
वापसी,واپسی,['/ʋɑːp.siː/'],[]
वारिस,وارث,['/ʋɑː.ɾɪs/'],"['/waː.riθ/', '/wɑːrɪθ/', '/wɑːɾis/', '/wɒːɾɪs/', '/vɒːɾes/', '/vɔːɾis/']"
वालिद,وَالِد,[],['/waː.led/']
वाह,وا,[],"['/waː/', '/ʋɑː/']"
विरासत,وراثت,[],[]
विलायत,ولایت,"['/ʋɪ.lɑː.jət̪/', '/ʋi.la.jət̪/']","['/wilɑːjat/', '/wɪlɒːjat/', '/velɒːjæt/', '/vilɔːjat/', '/ʋɪ.lɑː.jət̪/']"
वीरान,ویران,['/ʋiː.ɾɑːn/'],[]
शक,شک,"['/ʃək/', '/ɕɐ.kɐ/', '/ˈɕɐ.kɐ/']","['/ʃɑːk(k)/', '/ʃɒːk(k)/', '/ʃɒːk(k)/', '/ʃɔːk(k)/']"
शक्कर,شکر,[],"['/ʃak(k)aɾ/', '/ʃak(k)aɾ/', '/ʃak(k)æɾ~ʃekæɾ/', '/ʃekæɾ/', '/ʃakaɾ/', '/ʃəkː(ə)ɾ/']"
शख़्स,شخص,"['/ʃəkʰs/', '/ʃəxs/']","['/ʃa.xa.sˤa/', '/ʃax.xa.sˤa/', '/ʃaxsˤ/', '/ʃaxs/', '/ʃaxs/', '/ʃæxs/', '/ʃaxs/', '/ʃaxsˤ/', '/ʃəxs/']"
शख़्सियत,شخصیت,"['/ʃəkʰ.sɪ.jət̪/', '/ʃəx.sɪ.jət̪/']","['/ʃaxsiːjat/', '/ʃaxsiːjat/', '/ʃæxsiːjæt/', '/ʃaxsijat/']"
शतरंज,شطرنج,['/ʃət̪.ɾənd͡ʒ/'],[]
शब,شب,['/ʃəb/'],"['/ʃab.ba/', '/ʃab/', '/ʃab/', '/ʃæb/', '/ʃab/']"
शब बख़ैर,شب بخیر,"['/ʃəb‿bə.kʰɛːɾ/', '/ʃəb‿bə.xɛːɾ/']",[]
शबनम,شبنم,[],"['/ʃabnam/', '/ʃabnam/', '/ʃæbnæm/', '/ʃabnam/']"
शमशेर,شمشیر,['/ʃəm.ʃeːɾ/'],[]
शमा,شمع,['/ʃə.mɑː/'],"['/ʃamʕ/', '/ʃa.maʕ/', '/ʃamʔ/', '/ʃamʔ/', '/ʃæmʔ/', '/ʃamʔ/']"
शरमिंदा,شرمنده,['/ʃəɾ.mɪn.d̪ɑː/'],[]
शराब,شراب,[],"['/ʃa.raːb/', '/ʃar.raːb/', '/ʃur.raːb/', '/ʃaˈraːb/', '/ʃuˈrːaːb/', '/ʃraːb/', '/ʃaɾɑːb/', '/ʃaɾɒːb/', '/ʃæɾɒːb/', '/ʃaɾɔːb/', '/ʃa.raːb/', '/ʃə.ɾɑːb/']"
शर्बत,شربت,['/ʃəɾ.bət̪/'],['/ˈʃərbət/']
शर्म,شرم,"['/ʃəɾm/', '/ʃə.ɾəm/', '/ɕɐɾ.mɐ/', '/ˈɕɐɾ.mɐ/']",[]
शर्मनाक,شرمناک,['/ʃəɾ.mnɑːk/'],[]
शलगम,شلغم,['/ʃəl.ɡəm/'],"['/ʃal.ɣam/', '/ʃalɣam/', '/ʃalɣam/', '/ʃælɢæm/', '/ʃalɣam/']"
शहज़ादा,شاهزاده,"['/ʃəɦ.d͡ʒɑː.d̪ɑː/', '/ʃəɦ.zɑː.d̪ɑː/']","['/ʃɑːhzɑːda/', '/ʃɒːhzɒːda/', '/ʃɒːhzɒːde/', '/ʃɔːhzɔːda/']"
शहद,شهد,['/ʃə.ɦəd̪/'],"['/ʃahd/', '/ʃahd/', '/ʃæhd/', '/ʃahd/']"
शहमात,شاه مات,['/ʃəɦ.mɑːt̪/'],['/ʃɒːhˈmɒːt/']
शहर,شهر,"['/ʃə.ɦəɾ/', '/ɕə.ɦəɾ/']","['/ʃa.ha.ra/', '/ʃah.ha.ra/', '/ʃahr/', '/ʃhar/', '/ʃahɾ/', '/ʃahɾ/', '/ʃɒːɾ/', '/ʃæhɾ/', '/ʃahɾ/', '/ʃahr/']"
शहरी,شهری,['/ʃəɦ.ɾiː/'],"['/ʃahɾiː/', '/ʃahɾiː/', '/ʃæhɾiː/', '/ʃahɾiː/']"
शहीद,شهید,['/ʃə.ɦiːd̪/'],[]
शागिर्द,شاگرد,['/ʃɑː.ɡɪɾd̪/'],"['/ʃɑːɡiɾd̪/', '/ʃɒːɡɪɾd̪/', '/ʃɒːɡeɾd̪/', '/ʃɔːɡiɾd̪/']"
शादी,شادی,['/ʃɑː.d̪iː/'],['/ʃɑː.d̪iː/']
शाबाश,شاباش,['/ʃɑː.bɑːʃ/'],['/ʃɑː.bɑːʃᵊ/']
शाम,شام,"['/ʃɑːm/', '/ɕɑː.mɐ́/', '/ˈɕɑː.mɐ/']","['/ʃaː.ma/', '/ʃɑːm/', '/ʃɒːm/', '/ʃɒːm/', '/ʃɔːm/', '/ʃɑːm/']"
शामियाना,شامیانه,['/ʃɑː.mɪ.jɑː.nɑː/'],[]
शामिल,شامل,['/ʃɑː.mɪl/'],"['/ʃɑːmil/', '/ʃɒːmɪl/', '/ʃɒːmel/', '/ʃɔːmil/']"
शायद,شاید,[],"['/ʃɑːjad/', '/ʃɒːjad/', '/ʃɒːjæd/', '/ʃɔːjad/']"
शाल,شال,"['/ʃɑːl/', '/ɕal/', '/ɕɑː.lɐ́/', '/ˈɕɑː.l̪ɐ/']","['/ʃɑl/', '/ʃɑl/', '/ʃaːl/', '/ʃaːl/', '/ʃɒːl/', '/ʃaːl/']"
शाह,شاه,['/ʃɑːɦ/'],"['/ʃɑːh/', '/ʃɒːh/', '/ʃɒːh/', '/ʃɔːh/']"
शाही,شاهی,['/ʃɑː.ɦiː/'],[]
शाहीन,شاهین,['/ʃɑː.ɦiːn/'],"['/ʃɑːhiːn/', '/ʃɒːhiːn/', '/ʃɒːhiːn/', '/ʃɔːhin/']"
शिकंजा,شکنجه,['/ʃɪ.kən.d͡ʒɑː/'],[]
शिकम,شکم,['/ʃɪ.kəm/'],"['/ʃikam/', '/ʃɪkam/', '/ʃekæm/', '/ʃikam/']"
शिकस्त,شکست,['/ʃɪ.kəst̪/'],"['/ʃikast/', '/ʃɪkast/', '/ʃekæst/', '/ʃikast/']"
शिकायत,شکایت,['/ʃɪ.kɑː.jət̪/'],"['/ʃikɑːjat/', '/ʃɪkɒːjat/', '/ʃekɒːjæt/', '/ʃikɔːjat/', '/ʃɪ.kɑː.jət̪/']"
शिकार,شکار,['/ʃɪ.kɑːɾ/'],[]
शिकारी,شکاری,['/ʃɪ.kɑː.ɾiː/'],[]
शिद्दत,شدت,['/ʃɪd̪.d̪ət̪/'],[]
शिनाख़्त,شناخت,"['/ʃɪ.nɑːkʰt̪/', '/ʃɪ.nɑːxt̪/']",['/ʃɪ.nɑːxt̪/']
शीर,شیر,['/ʃiːɾ/'],"['/ʃeːr/', '/ʃeːɾ/', '/ʃeːɾ/', '/ʃiːɾ/', '/ʃeɾ/', '/ʃiːɾ/', '/ʃiːɾ/', '/ʃiːɾ/', '/ʃiɾ/', '/ʃeːɾ/', '/ʃiːɾ/']"
शीरी,شیری,['/ʃiː.ɾiː/'],[]
शीशा,شیشه,['/ʃiː.ʃɑː/'],"['/ʃiːʃa/', '/ʃiːʃa/', '/ʃiːʃe/', '/ʃiʃa/']"
शुक्रगुज़ार,شکر گزار,"['/ʃʊk.ɾə.ɡʊ.d͡ʒɑːɾ/', '/ʃʊk.ɾə.ɡʊ.zɑːɾ/']",[]
शुक्रिया,شکریه,['/ʃʊk.ɾɪ.jɑː/'],[]
शुतुरमुर्ग़,شترمرغ,"['/ʃʊ.t̪ʊɾ.mʊɾɡ/', '/ʃʊ.t̪ʊɾ.mʊɾɣ/']","['/ʃutuɾmuɾɣ/', '/ʃʊtʊɾmʊɾɣ/', '/ʃotoɾmoɾɢ/', '/ʃutuɾmuɾɣ/']"
-शुदा,شده,['/ʃʊ.d̪ɑː/'],[]
शुबहा,شبهه,[],[]
शुरू,شُرُوع,['/ʃʊ.ɾuː/'],"['/ʃʊːrʊː/', '/ʃoˈruː(ʔ)/']"
शेख़ी,شیخی,"['/ʃeː.kʰiː/', '/ʃeː.xiː/']",[]
शेर,شیر,['/ʃeːɾ/'],"['/ʃeːr/', '/ʃeːɾ/', '/ʃeːɾ/', '/ʃiːɾ/', '/ʃeɾ/', '/ʃiːɾ/', '/ʃiːɾ/', '/ʃiːɾ/', '/ʃiɾ/', '/ʃeːɾ/', '/ʃiːɾ/']"
शैतानी,شیطانی,['/ʃɛː.t̪ɑː.niː/'],"['/ʃajtɑːniː/', '/ʃajtɒːniː/', '/ʃejtɒːniː/', '/ʃajtɔːniː/']"
शोला,شعله,['/ʃoː.lɑː/'],"['/ʃuʔla/', '/ʃʊʔla/', '/ʃoʔle/', '/ʃɵːʔla/']"
शोहरत,شهرت,['/ʃoːɦ.ɾət̪/'],"['/ʃuhɾat/', '/ʃʊhɾat/', '/ʃohɾæt/', '/ʃɵːhɾat/']"
शौक़,شوق,[],"['/ʃoːɡ/', '/ʃawq/', '/ʃawq/', '/ʃowɢ/', '/ʃavq/', '/ʃɔːq/']"
शौहर,شوهر,['/ʃɔː.ɦəɾ/'],"['/ʃawhaɾ/', '/ʃawhaɾ/', '/ʃowhæɾ/', '/ʃavhaɾ/']"
संग,سنگ,['/səŋɡ/'],"['/sɑŋɡ/', '/seŋɡ/', '/sæŋɡ/', '/sæŋɡ/']"
संगतराश,سنگتراش,[],[]
संगमरमर,سنگ مرمر,['/səŋ.ɡməɾ.məɾ/'],"['/sɑŋɡ/', '/seŋɡ/', '/sæŋɡ/', '/sæŋɡ/']"
संदल,صندل,['/sən.d̪əl/'],['/sˤan.dal/']
संदूक़,صندوق,"['/sən.d̪uːk/', '/sən.d̪uːq/']","['/sˤun.duːq/', '/sˤan.duːq/', '/sˤənˈduːɡ/', '/sˤan.duːq/', '/sˤanˈduːɡ/', '/sanˈduːq/', '/sanˈduːq/', '/sænˈduːɢ/', '/sanˈduq/']"
संदूक़चा,صندوقچه,"['/sən.d̪uːk.t͡ʃɑː/', '/sən.d̪uːq.t͡ʃɑː/']",[]
सकता,سکته,['/sək.t̪ɑː/'],[]
सख़्त,سخت,[],"['/saxt/', '/saxt/', '/sæxt/', '/saxt/']"
सज़ा,سزا,"['/sə.d͡ʒɑː/', '/sə.zɑː/']",['/sə.zɑː/']
सतह,سطح,['/sə.t̪əɦ/'],"['/satˤħ/', '/stˤaħ/', '/sath/', '/sath/', '/sæth/', '/sath/', '/satˤ.tˤaħ/']"
सदरी,صدری,['/səd̪.ɾiː/'],[]
सदी,سده,[],"['/sada/', '/sada/', '/sæde/', '/sada/']"
सनम,صَنَم,[],"['/sanam/', '/sanam/', '/sænæm/', '/sanam/']"
सनसनीख़ेज़,خیز,"['/sən.sə.niː.kʰeːd͡ʒ/', '/sən.sə.niː.xeːz/']","['/xeːz/', '/xeːz/', '/xiːz/', '/xez/']"
सफ़र,سفر,"['/sə.pʰəɾ/', '/sə.fəɾ/']","['/sa.far/', '/saf.fa.ra/', '/sa.fa.ra/', '/safr/', '/sifr/', '/safaɾ/', '/safaɾ/', '/sæfæɾ/', '/safaɾ/', '/sifɾ/', '/sɪfɾ/', '/sefɾ/', '/sifɾ/', '/sə.fəɾ/']"
सफ़ेद,سفید,"['/sə.pʰeːd̪/', '/sə.feːd̪/']","['/safeːd/', '/safeːd/', '/sæfiːd/', '/safed/', '/sə.feːd̪/']"
सबब,سبب,['/sə.bəb/'],"['/sab.ba.ba/', '/sa.bab/', '/sab.bab/']"
सबूत,ثَبُوت,['/sə.buːt̪/'],['/sə.buːt̪/']
सब्ज़,سبز,[],"['/sabz/', '/sabz/', '/sæbz/', '/sabz/']"
सब्ज़ी,سبزی,"['/səb.d͡ʒiː/', '/səb.ziː/']","['/sabziː/', '/sabziː/', '/sæbziː/', '/sabziː/', '/səb.ziː/']"
समोसा,سنبوسه,['/sə.moː.sɑː/'],"['/samboːsa/', '/samboːsa/', '/sæmbuːse/', '/sambɵːsa/']"
सय्याद,صیاد,['/səj.jɑːd̪/'],[]
सर,سر,['/səɾ/'],"['/saɾ/', '/saɾ/', '/sæɾ/', '/saɾ/', '/siɾ/', '/sɪɾ/', '/seɾ/', '/siɾ/', '/sɪɾ/']"
सरंजाम,سرانجام,['/sə.ɾən.d͡ʒɑːm/'],"['/saɾand͡ʒɑːm/', '/saɾand͡ʒɒːm/', '/sæɾænd͡ʒɒːm/', '/saɾand͡ʒɔːm/']"
सरकार,سرکار,"['/səɾ.kɑːɾ/', '/səɾ.kaɾ/']","['/saɾkɑːɾ/', '/saɾkɒːɾ/', '/sæɾkɒːɾ/', '/saɾkɔːɾ/', '/səɾ.kɑːɾ/']"
सरदार,سردار,['/səɾ.d̪ɑːɾ/'],['/sæɾˈdɒːɾ/']
सरहद,سرحد,['/səɾ.ɦəd̪/'],"['/sæɾˈhæd/', '/səɾ.ɦəd̪/']"
सराय,سرای,['/sə.ɾɑːj/'],"['/saˈɾɑːj/', '/saˈɾɒːj/', '/sæˈɾɒːj/', '/saˈɾɔj/']"
सर्द,سرد,['/səɾd̪/'],"['/sa.ra.da/', '/sard/', '/saɾd/', '/saɾd/', '/sæɾd/', '/saɾd/']"
सर्दी,سردی,['/səɾ.d̪iː/'],[]
सलवार,شلوار,['/səl.ʋɑːɾ/'],"['/ʃɑlˈvɑːɾ/', '/ʃælˈwɒːɾ/', '/ʃælˈvɒːɾ/', '/ʃælˈvɔːɾ/']"
सलाम,سلام,"['/sə.lɑːm/', '/sə.lam/']","['/sa.laːm/', '/si.laːm/', '/salɑːm/', '/salɒːm/', '/sælɒːm/', '/salɔːm/', '/sə.laːmə/', '/sə.lɑːm/']"
सलामी,سلامی,['/sə.lɑː.miː/'],[]
सलाहकार,صلاح کار,['/sə.lɑːɦ.kɑːɾ/'],[]
सलीक़ा,سلیقه,"['/sə.liː.kɑː/', '/sə.liː.qɑː/']",[]
सलीब,صلیب,['/sə.liːb/'],['/sə.liːb/']
सवार,سوار,['/sə.ʋɑːɾ/'],['/si.waːr/']
सवाल,سؤال,['/sə.ʋɑːl/'],"['/su.ʔaːl/', '/suʔ.ʔaːl/', '/suɑːl/', '/sʊɒːl/', '/soɒːl/', '/suɔːl/']"
सस्ता,سست,['/səs.t̪ɑː/'],[]
सहम,سهم,[],"['/sahm/', '/sahm/', '/sahm/', '/sæhm/', '/sahm/']"
सहमनाक,سهمناک,[],[]
सहरा,صحرا,['/səɦ.ɾɑː/'],"['/sahɾɑː/', '/sahɾɒː/', '/sæhɾɒː/', '/sahɾɔː/', '/sɛɦ.ɾɑː/', '/seɦ.ɾɑː/']"
सहल,سَهْل,[],"['/sahl/', '/sa.hu.la/', '/sah.ha.la/', '/sahl/', '/sahl/', '/sæhl/', '/sahl/', '/si.hil/', '/sah.hal/']"
सही,صحیح,['/sə.ɦiː/'],"['/sahiːh/', '/sahiːh/', '/sæhiːh/', '/saheh/', '/sə.ɦiː/', '/sə.iː/']"
साज़,ساز,"['/sɑːd͡ʒ/', '/sɑːz/']","['/sɑːz/', '/sɒːz/', '/sɒːz/', '/sɔːz/']"
साज़िश,سازش,"['/sɑː.d͡ʒɪʃ/', '/sɑː.zɪʃ/']","['/sɑːziʃ/', '/sɒːzɪʃ/', '/sɒːzeʃ/', '/sɔːziʃ/', '/sɑː.zɪʃ/']"
सादगी,سادگی,['/sɑː.d̪ə.ɡiː/'],"['/sɑːda\xa0ɡiː/', '/sɒːda\xa0ɡiː/', '/sɒːde\xa0ɡiː/', '/sɔːda\xa0ɡiː/']"
सादा,ساده,['/sɑː.d̪ɑː/'],"['/sɑːˈda/', '/sɒːˈda/', '/sɒːˈde/', '/sɔːˈda/']"
साफ़,صاف,"['/sɑːpʰ/', '/sɑːf/']",[]
साबिक़,سَابِق,"['/sɑː.bɪk/', '/sɑː.bɪq/']","['/saː.biq/', '/sɑːbiq/', '/sɒːbɪq/', '/sɒːbeɢ/', '/sɔːbiq/', '/saː.baʔ/', '/saː.baɡ/']"
साबित,ثابت,['/sɑː.bɪt̪/'],"['/θaː.bit/', '/saː.bit/', '/θaː.bit/', '/sɒːˈbetʰ/', '/sɑː.bɪt̪/']"
सामान,سامان,"['/sɑː.mɑːn/', '/sa.man/']","['/sɑːmɑːn/', '/sɒːmɒːn/', '/sɒːmɒːn/', '/sɔːmɔːn/']"
सायबान,سایبان,['/sɑːj.bɑːn/'],[]
साया,سایه,['/sɑː.jɑː/'],"['/sɑːja/', '/sɒːja/', '/sɒːje/', '/sɔːja/']"
साल,سال,['/sɑːl/'],"['/saːl/', '/sɒːl/']"
सालाना,سالانه,['/sɑː.lɑː.nɑː/'],[]
साहिब,صاحب,"['/sɑː.ɦɪb/', '/sɑː.ɦəb/', '/sɑːɦb/', '/sɑːb/']","['/sˤaː.ħib/', '/sˤaːħib/', '/sˤaːħɪb/', '/sɑːhib/', '/sɒːhɪb/', '/sɒːheb/', '/sɔːhib/', '/sɑː˦.ɦəbᵊ/', '/sˤaː.ħab/', '/sˤaː.ħeb/', '/sɑː.ɦɪb/']"
साहिल,ساحل,['/sɑː.ɦɪl/'],"['/saː.ħil/', '/sɑːhil/', '/sɒːhɪl/', '/sɒːhel/', '/sɔːhil/', '/sɑː.ɦɪl/']"
सिकंदर,سکندر,['/sɪ.kən.d̪əɾ/'],[]
सितम,ستم,['/sɪ.t̪əm/'],[]
सितार,سه‌تار,[],[]
सितारा,ستاره,['/sɪ.t̪ɑː.ɾɑː/'],"['/sitɑːɾa/', '/sɪtɒːɾa/', '/setɒːɾe/', '/sitɔːɾa/']"
सिपास,سپاس,[],[]
सिफ़त,صفت,"['/sɪ.pʰət̪/', '/sɪ.fət̪/']","['/sifat/', '/sɪfat/', '/sefæt/', '/sifat/']"
सिफ़र,صفر,"['/sɪ.pʰəɾ/', '/sɪ.fəɾ/']","['/sˤa.far/', '/sˤifr/', '/safa(r)/', '/sifa(r)/', '/sˤfar/', '/sˤifr/']"
सिफ़ारतख़ाना,سفارتخانه,"['/sɪ.pʰɑː.ɾət̪.kʰɑː.nɑː/', '/sɪ.fɑː.ɾət̪.xɑː.nɑː/']",[]
सिफ़ारिश,سفارش,"['/sɪ.pʰɑː.ɾɪʃ/', '/sɪ.fɑː.ɾɪʃ/']","['/sifɑːɾiʃ/', '/sɪfɒːɾɪʃ/', '/sefɒːɾeʃ/', '/sifɔːɾiʃ/']"
सियासत,سیاست,[],"['/sijɑːsat/', '/sijɒːsat/', '/sijɒːsæt/', '/sijɔːsat/', '/sɪ.jɑː.sət̪/']"
सिरका,سرکه,['/sɪɾ.kɑː/'],"['/siɾka/', '/sɪɾka/', '/seɾke/', '/siɾka/']"
सिर्फ़,صرف,[],"['/siɾf/', '/sɪɾf/', '/seɾf/', '/siɾf/', '/sˤa.raf/']"
सिलसिला,سلسله,['/sɪl.sɪ.lɑː/'],"['/silsila/', '/sɪlsɪla/', '/selsele/', '/silsila/']"
सीना,سینه,['/siː.nɑː/'],"['/siːna/', '/siːna/', '/siːne/', '/sina/']"
सीरत,سیرت,['/siː.ɾət̪/'],[]
सुक़रात,سقراط,"['/sʊk.ɾɑːt̪/', '/sʊq.ɾɑːt̪/']","['/suq.raːtˤ/', '/suqɾɑːt/', '/sʊqɾɒːt/', '/soɢɾɒːt/', '/suqɾɔːt/']"
सुन्नी,سنی,['/sʊn.niː/'],[]
सुपुर्द,سپرد,['/sʊ.pʊɾd̪/'],[]
सुरमा,سرمه,['/sʊɾ.mɑː/'],"['/suɾma/', '/sʊɾma/', '/soɾme/', '/suɾma/', '/saɾma/', '/saɾma/', '/sæɾme/', '/saɾma/']"
सुराख़,سوراخ,"['/sʊ.ɾɑːkʰ/', '/sʊ.ɾɑːx/']",[]
सुर्ख़,سرخ,[],"['/suɾx/', '/sʊɾx/', '/soɾx/', '/suɾx/']"
सुर्ख़ाब,سرخاب,"['/sʊɾ.kʰɑːb/', '/sʊɾ.xɑːb/']",[]
सुर्ख़ी,سرخی,"['/sʊɾ.kʰiː/', '/sʊɾ.xiː/']",[]
सुलह,صلح,['/sʊ.ləɦ/'],"['/sˤlaħ/', '/sˤal.laħ/', '/sulh/', '/sulh/', '/sulh/', '/sulh/', '/sˤal.laħ/']"
सुल्तान,سلطان,[],"['/sul.tˤaːn/', '/sul.taːn/']"
सुल्ताना,سلطانه,['/sʊl.t̪ɑː.nɑː/'],[]
सुस्त,سست,[],[]
सुस्ती,سستی,"['/sʊs.t̪iː/', '/sus.t̪i/']","['/sʊs.t̪iː/', '/səs.t̪iː/']"
सूद,سود,"['/suːd̪/', '/súː.dɐ/', '/ˈs̪uː.d̪ɐ/']",[]
सूरत,صورت,[],"['/suːɾat/', '/suːɾat/', '/suːɾæt/', '/suɾat/']"
सूरिया,سوریه,['/suː.ɾɪ.jɑː/'],['/suːɾiˈje/']
सेहत,صحت,['/seː.ɦət̪/'],"['/seː.ɦət̪/', '/sɪ.ɦət̪/']"
सैलाब,سیلاب,['/sɛː.lɑːb/'],"['/sajlɑːb/', '/sajlɒːb/', '/sejlɒːb/', '/sajlɔːb/']"
सौगंद,سوگند,['/sɔː.ɡənd̪/'],"['/sawɡand/', '/sawɡand/', '/sowɡænd/', '/savɡand/']"
सौदा,سودا,['/sɔː.d̪ɑː/'],[]
सौदागर,سوداگر,['/sɔː.d̪ɑː.ɡəɾ/'],"['/sawdɑːɡaɾ/', '/sawdɒːɡaɾ/', '/sowdɒːɡæɾ/', '/savdɔːɡaɾ/']"
स्याह,سیاه,['/sjɑːɦ/'],"['/sijɑːh/', '/sijɒːh/', '/sijɒːh/', '/sijɔːh/']"
स्याही,سیاهی,['/sjɑː.ɦiː/'],[]
हंगामा,هنگامه,['/ɦəŋ.ɡɑː.mɑː/'],[]
हक़,حق,[],"['/ħaq.qa/', '/ħuq.qa/', '/ħaqq/', '/ħuqq/', '/ˈħaɡː/', '/ˈħuɡː/', '/haqq/', '/ɦəkːᵊ/', '/ɦəqːᵊ/', '/ħaʔʔ/']"
हकीम,حکیم,['/ɦə.kiːm/'],[]
हज़रत,حضرت,[],[]
हज़ार,هزار,"['/ɦə.d͡ʒɑːɾ/', '/ɦə.zɑːɾ/']","['/hazɑːɾ/', '/hazɒːɾ/', '/hæzɒːɾ/', '/hazɔːɾ/']"
हज़ारहा,هزارها,"['/ɦə.d͡ʒɑːɾ.ɦɑː/', '/ɦə.zɑːɾ.ɦɑː/']",[]
हज़्म,حذم,"['/ɦəd͡ʒm/', '/ɦəzm/', '/ɦə.d͡ʒəm/', '/ɦə.zəm/']",[]
हद,حد,[],"['/ħad.da/', '/ħadd/', '/ħid/', '/ħadd/']"
हदफ़,هَدَف,[],"['/ha.daf/', '/hadəf/', '/adəp/', '/hədəp/', '/hədəw/', '/ha.daf/']"
हम,هم,"['/ˈhəm/', '/ɦəm/']","['/hum/', '/hum/', '/him/', '/ham.ma/', '/hamm/', '/himm/', '/ˈhommæ/', '/ˈhumːa/', '/ˈhum/', '/ˈhamː/', '/ham/', '/ham/', '/hæm/', '/ham/', '/hom.me/', '/hamm/']"
हम-,هم,['/ɦəm/'],"['/hum/', '/hum/', '/him/', '/ham.ma/', '/hamm/', '/himm/', '/ˈhommæ/', '/ˈhumːa/', '/ˈhum/', '/ˈhamː/', '/ham/', '/ham/', '/hæm/', '/ham/', '/hom.me/', '/hamm/']"
हमला,حمله,['/ɦəm.lɑː/'],"['/hamla/', '/hamla/', '/hæmle/', '/hamla/']"
हमशक्ल,ھمشکل,['/ɦəm.ʃək.lᵊ/'],[]
हमसफ़र,همسفر,"['/ɦəm.sə.pʰəɾ/', '/ɦəm.sə.fəɾ/']",[]
हमसाया,همسایه,['/ɦəm.sɑː.jɑː/'],"['/hamsɑːja/', '/hamsɒːja/', '/hæmsɒːje/', '/hamsɔːja/']"
हमेशा,همیشه,[],"['/ham\xa0eːʃa/', '/ham\xa0eːʃa/', '/hæm\xa0iːʃe/', '/ham\xa0eʃa/']"
हयात,حیات,['/ɦə.jɑːt̪/'],"['/hajɑːt/', '/hajɒːt/', '/hæjɒːt/', '/hajɔt/', '/ɦə.jɑːt̪/']"
हर,هر,[],"['/hirr/', '/harr/', '/haɾ/', '/haɾ/', '/hæɾ/', '/haɾ/']"
हरकत,حرکت,"['/ɦəɾ.kət̪/', '/ɦəɾ.kət̪/']","['/haɾ(a)kat/', '/haɾ(a)kat/', '/hæɾ(æ)kæt/', '/haɾ(a)kat/']"
हरगिज़,هرگز,"['/ɦəɾ.ɡɪd͡ʒ/', '/ɦəɾ.ɡɪz/']","['/haɾˈɡiz/', '/haɾˈɡɪz/', '/hæɾˈɡez/', '/haɾˈɡiz/']"
हर्ज,هرج,['/ɦəɾd͡ʒ/'],[]
हलक़ा,حلقه,"['/ɦəl.kɑː/', '/ɦəl.qɑː/']","['/halqa/', '/halqa/', '/hælɢe/', '/halqa/']"
हलवा,حلوا,['/ɦəl.ʋɑː/'],"['/halwɑː/', '/halwɒː/', '/hælvɒː/', '/halvɔː/']"
हवलदार,حوالدار,['/ɦə.ʋəl.d̪ɑːɾ/'],[]
हवा,هوا,['/ɦə.ʋɑː/'],"['/hwa/', '/ha.wa/']"
हस्ती,هستی,['/ɦəs.t̪iː/'],[]
हाज़िर,حاضر,"['/ɦɑː.d͡ʒɪɾ/', '/ɦɑː.zɪɾ/']",[]
हाजिरा,هَاجَر,['/ɦɑː.d͡ʒɪ.ɾɑː/'],['/haː.ʒar/']
