loan_word,original_word,loan_word_ipas,original_word_ipas
महताब,مهتاب,['/məɦ.t̪ɑːb/'],[]
महल,محل,['/mə.ɦəl/'],"['/ma.ħall/', '/ˈmaħalː/', '/maħalː/', '/mahall/', '/mahall/', '/mæhæll/', '/mahall/', '/ma.ħall/', '/mɛ.ɦɛl̪/']"
महारत,مهارت,['/mə.ɦɑː.ɾət̪/'],"['/mahɑːɾat/', '/mahɒːɾat/', '/mæhɒːɾæt/', '/mahɔːɾat/']"
महीन,مهین,['/mə.ɦiːn/'],[]
माँदा,مانده,['/mɑ̃ː.d̪ɑː/'],[]
माजरा,ماجرا,['/mɑːd͡ʒ.ɾɑː/'],"['/mɑːd͡ʒaɾɑː/', '/mɒːd͡ʒaɾɒː/', '/mɒːd͡ʒæɾɒː/', '/mɔːd͡ʒaɾɔː/']"
माजूफल,مازو,['/mɑː.d͡ʒuː.pʰəl/'],"['/mɑˈzu/', '/mɑˈzɯ/', '/mɑːˈzuː/', '/mɒːˈzuː/', '/mɒːˈzuː/', '/mɔːˈzu/']"
मादर,مادر,[],"['/mɑːdaɾ/', '/mɒːdaɾ/', '/mɒːdæɾ/', '/mɔːdaɾ/', '/mɒːˈdeɾ/']"
मादा,ماده,['/mɑː.d̪ɑː/'],[]
माफ़,معاف,"['/mɑːpʰ/', '/mɑːf/']",[]
माफ़ी,معافی,"['/mɑː.pʰiː/', '/mɑː.fiː/']",[]
मामूली,معمولی,['/mɑː.muː.liː/'],[]
मायूस,مأیوس,['/mɑː.juːs/'],[]
मारख़ोर,مارخور,"['/mɑːɾ.kʰoːɾ/', '/mɑːɾ.xoːɾ/']",[]
माल,مال,"['/mɑːl/', '/mɑː.lɐ/', '/ˈmɑː.l̪ɐ/']",['/maːl/']
मालिक,مالک,['/mɑː.lɪk/'],"['/mɑlɪk/', '/mɑːlik/', '/mɒːlɪk/', '/mɒːlek/', '/mɔːlik/']"
मालिकाना,مالکانه,['/mɑː.lɪ.kɑː.nɑː/'],[]
मालिश,مالش,['/mɑː.lɪʃ/'],[]
मासूम,مَعْصُوم,[],[]
माह,ماه,['/mɑːɦ/'],"['/maː.ha/', '/mɑːh/', '/mɒːh/', '/mɒːh/', '/mɔːh/']"
माहिर,ماهر,['/mɑː.ɦɪɾ/'],"['/mɑːhiɾ/', '/mɒːhɪɾ/', '/mɒːheɾ/', '/mɔːhiɾ/']"
माही,ماهی,[],"['/mɑːhiː/', '/mɒːhiː/', '/mɒːhiː/', '/mɔːhiː/']"
मिन्नत,منت,['/mɪn.nət̪/'],[]
मिरजई,مرزائی,['/mɪɾ.d͡ʒə.iː/'],[]
मिसाल,مثال,['/mɪ.sɑːl/'],"['/mi.θaːl/', '/miˈθaːl/', '/miˈsaːl/', '/misɑːl/', '/mɪsɒːl/', '/mesɒːl/', '/misɔːl/']"
मिस्र,مصر,['/mɪsɾ/'],"['/misˤr/', '/masˤur/', '/misˤr/', '/mɪsɾ/', '/mis.ar/', '/misɾ/', '/mɪsɾ/', '/mesɾ/', '/misɾ/', '/mɪ.səɾ/']"
मीज़ान,میزان,"['/miː.d͡ʒɑːn/', '/miː.zɑːn/']","['/miːˈzɑːn/', '/miːˈzɒːn/', '/miːˈzɒːn/', '/miˈzɔn/', '/miː.zɑːn/']"
मीनार,مناره,[],[]
मीर,میر,"['/miːɾ/', '/miː.ɾɐ/', '/ˈmiː.ɾɐ/']",[]
मुंतज़िर,منتظر,"['/mʊn.t̪ə.d͡ʒɪɾ/', '/mʊn.t̪ə.zɪɾ/']","['/mun.ta.ðˤar/', '/muntaziɾ/', '/mʊntazɪɾ/', '/montæzeɾ/', '/muntaziɾ/']"
मुंशी,منشی,['/mʊn.ʃiː/'],['/munˈʃiː/']
मुंसिफ़ाना,منصفانه,"['/mʊn.sɪ.pʰɑː.nɑː/', '/mʊn.sɪ.fɑː.nɑː/']",[]
मुअज़्ज़िन,مُؤَذِّن,"['/mʊ.əd͡ʒ.d͡ʒɪn/', '/mʊ.əz.zɪn/']",['/mʊ.əz.zɪn/']
मुअल्लिमा,معلمه,[],[]
मुअल्लिमी,معلمی,[],[]
मुक़दमा,مقدمه,"['/mʊ.kəd̪.mɑː/', '/mʊ.qəd̪.mɑː/']",[]
मुक़द्दस,مقدس,"['/mʊ.kəd̪.d̪əs/', '/mʊ.qəd̪.d̪əs/']","['/muqaddas/', '/mʊqaddas/', '/moɢæddæs/', '/muqaddas/']"
मुक़र्रर,مقرر,"['/mʊ.kəɾ.ɾəɾ/', '/mʊ.qəɾ.ɾəɾ/']",[]
मुख़ालिफ़त,مخالفت,"['/mʊ.kʰɑː.lɪ.pʰət̪/', '/mʊ.xɑː.lɪ.fət̪/']",[]
मुग़ल,مغول,"['/mʊ.ɡəl/', '/mʊ.ɣəl/']",[]
मुतअल्लिक़,متعلق,"['/mʊ.t̪ə.əl.lɪk/', '/mʊ.t̪ə.əl.lɪq/']","['/mutaʔalliq/', '/mʊtaʔallɪq/', '/motæʔælleɢ/', '/mutaʔalliq/']"
मुदाख़लत,مداخله,"['/mʊ.d̪ɑː.kʰə.lət̪/', '/mʊ.d̪ɑː.xə.lət̪/']",[]
मुद्दा,مدعا,"['/mʊd̪.d̪ɑː/', '/mud̪.d̪a/']",[]
मुनीम,منیب,['/mʊ.niːm/'],[]
