,language_pair,Fast Levenshtein Distance Div Maxlen,Dolgo Prime Distance Div Maxlen,Feature Edit Distance Div Maxlen,Hamming Feature Distance Div Maxlen,Weighted Feature Distance Div Maxlen,Partial Hamming Feature Distance Div Maxlen,plain Levenshtein,DNN_logits
0,All languages,-0.1654766004173439,-0.4085750104103295,-0.08970224841014608,0.5239531464791076,-0.2536271505461719,0.39005876189650585,-1.897871970957565,2.015386026648585
1,Assamese-Bengali,-0.26873070874605715,-0.39745707176483075,0.16358962132525728,0.24899212685074285,-0.23441766438397668,0.3809729656913323,-1.839242282987198,2.0482086825249977
2,Bengali-Assamese,-0.13599423862990118,-0.39159133050683387,-0.058311894453774465,0.5165348884113903,-0.1915965871086681,0.24993833312255428,-1.7949442895220713,1.904727660454265
